date,usd_to_ngn_rate,ngn_to_usd_rate
2021-09-23,411.0,0.0024330900243309003
2021-09-24,411.0,0.0024330900243309003
2021-09-27,411.0,0.0024330900243309003
2021-09-28,408.76,0.0024464233290928663
2021-09-29,408.76,0.0024464233290928663
2021-09-30,409.8,0.002440214738897023
2021-10-01,409.77,0.002440393391414696
2021-10-04,409.77,0.002440393391414696
2021-10-05,409.77,0.002440393391414696
2021-10-06,409.77,0.002440393391414696
2021-10-07,409.81,0.0024401551938703302
2021-10-08,409.81,0.0024401551938703302
2021-10-11,409.77,0.002440393391414696
2021-10-12,409.87,0.0024397979847268648
2021-10-13,409.82,0.0024400956517495486
2021-10-14,409.85,0.0024399170428205438
2021-10-15,409.91,0.0024395599033934278
2021-10-18,409.91,0.0024395599033934278
2021-10-19,409.89,0.002439678938251726
2021-10-20,409.82,0.0024400956517495486
2021-10-21,409.88,0.002439738460037084
2021-10-22,409.91,0.0024395599033934278
2021-10-25,409.96,0.002439262367060201
2021-10-26,409.99,0.0024390838800946364
2021-10-27,410.02,0.0024389054192478416
2021-10-28,410.0,0.0024390243902439024
2021-10-29,410.06,0.002438667512071404
2021-11-01,410.05,0.0024387269845140835
2021-11-02,410.17,0.0024380135065948266
2021-11-03,410.21,0.002437775773384364
2021-11-04,410.24,0.002437597503900156
2021-11-05,410.27,0.0024374192604869967
2021-11-08,410.29,0.0024373004460259817
2021-11-09,410.32,0.002437122246051862
2021-11-10,410.34,0.002437003460544914
2021-11-11,410.37,0.002436825303993957
2021-11-12,410.39,0.002436706547430493
2021-11-15,410.42,0.002436528434286828
2021-11-16,410.43,0.0024364690690251685
2021-11-17,410.43,0.0024364690690251685
2021-11-18,410.57,0.0024356382590057725
2021-11-19,410.59,0.002435519618110524
2021-11-22,410.59,0.002435519618110524
2021-11-23,409.63,0.0024412274491614383
2021-11-24,409.63,0.0024412274491614383
2021-11-25,409.63,0.0024412274491614383
2021-11-26,409.64,0.0024411678547016894
2021-11-29,409.64,0.0024411678547016894
2021-11-30,409.64,0.0024411678547016894
2021-12-01,409.66,0.0024410486745105697
2021-12-02,409.7,0.00244081034903588
2021-12-03,409.73,0.0024406316354672586
2021-12-06,409.74,0.0024405720700932296
2021-12-07,409.74,0.0024405720700932296
2021-12-08,409.74,0.0024405720700932296
2021-12-09,409.74,0.0024405720700932296
2021-12-10,409.72,0.0024406912037489015
2021-12-13,409.95,0.0024393218685205514
2021-12-14,409.72,0.0024406912037489015
2021-12-15,409.73,0.0024406316354672586
2021-12-16,409.83,0.0024400361125344657
2021-12-17,409.91,0.0024395599033934278
2021-12-20,409.91,0.0024395599033934278
2021-12-21,410.91,0.002433622934462534
2021-12-22,410.92,0.002433563710697946
2021-12-23,410.93,0.002433504489815784
2021-12-24,410.93,0.002433504489815784
2021-12-27,410.95,0.002433386056697895
2021-12-28,410.95,0.002433386056697895
2021-12-29,410.95,0.002433386056697895
2021-12-30,411.0,0.0024330900243309003
2021-12-31,411.7,0.002428953121204761
2022-01-03,412.49,0.002424301195180489
2022-01-04,412.49,0.002424301195180489
2022-01-05,412.55,0.0024239486122894192
2022-01-06,412.79,0.0024225393057002347
2022-01-07,412.96,0.0024215420379697793
2022-01-10,413.14,0.0024204870019847993
2022-01-11,413.1,0.002420721374969741
2022-01-12,413.44,0.002418730650154799
2022-01-13,413.6,0.00241779497098646
2022-01-14,413.79,0.002416684791802605
2022-01-17,413.79,0.002416684791802605
2022-01-18,414.0,0.0024154589371980675
2022-01-19,414.17,0.002414467489195258
2022-01-20,414.45,0.0024128362890577875
2022-01-21,414.45,0.0024128362890577875
2022-01-24,414.53,0.002412370636624611
2022-01-25,414.53,0.002412370636624611
2022-01-26,414.82,0.0024106841521623836
2022-01-27,414.99,0.0024096966191956433
2022-01-28,415.16,0.0024087098949802485
2022-01-31,415.33,0.002407723978523102
2022-02-01,414.26,0.002413942934389031
